Date: 15-Feb-2016 15:28:54
Experiment: Emotional action task - AAT2
Version: 4.01
Subject: 01
Time startup: 396.075983
Time of start Experiment: 409.124764

======================================================
exp	block_nr	trl_nr	blocktype	blockInst	stim_side	stim_type	stim_nr	flip_int	ITI	T_fixation_onset	T_movie_start	T_stim_onset	T_stim_offset	T_movie_offset	T_movie2_start	T_feedback	T_start_ITI	T_start_IBI	SRT	corr	no_resp	resp	force		

1	1	1	3	1	2	2	37	0.013329	0.600000	90.461106	90.660719	91.327299	91.527236	92.033721	92.047040	92.473564	89.327897	80.477726	0.700000	0	1	2	0	
1	1	2	3	1	2	2	20	0.013329	1	95.432628	95.632292	96.258867	96.458788	97.005268	97.018640	97.445107	93.926258	0	0.750000	0	0	2	745	
1	1	3	3	1	1	2	25	0.013329	0.700000	99.951007	100.150674	100.723961	100.923867	101.523657	101.536985	101.963496	98.737885	0	0.800000	0	0	1	573	
1	1	4	3	1	1	1	37	0.013329	0.600000	104.389430	104.589072	105.255651	105.455574	105.962115	105.975391	106.401897	103.282913	0	0.700000	0	0	2	459	
1	1	5	3	1	1	2	35	0.013329	0.800000	109.027770	109.227425	109.747365	109.947280	110.600384	110.613724	111.040249	107.721299	0	0.850000	1	0	2	712	
1	1	6	3	1	2	1	35	0.013329	0.700000	113.559462	113.759113	114.385704	114.585639	115.132121	115.145426	115.571932	112.346350	0	0.750000	0	0	1	744	
1	1	7	3	1	2	2	21	0.013329	1	118.384428	118.584051	119.050703	119.250636	119.957052	119.970382	120.396890	116.878019	0	0.900000	0	0	2	901	
1	1	8	3	1	2	2	13	0.013329	1	123.209372	123.409012	123.835489	124.035600	124.781987	124.795320	125.221829	121.702985	0	0.950000	1	0	1	822	
1	1	9	3	1	1	1	34	0.013329	0.600000	127.661100	127.860763	128.434018	128.633935	129.233750	129.247049	129.673637	126.554534	0	0.800000	1	0	1	674	
1	1	10	3	1	1	2	6	0.013329	0.700000	132.192824	132.392461	132.765775	132.965729	133.765359	133.778776	134.205280	130.979631	0	1.000000	0	0	1	674	
1	1	11	3	1	2	2	22	0.013329	0.800000	136.831121	137.030779	137.350662	137.550589	138.403772	138.417091	138.843627	135.524666	0	1.050000	1	0	1	943	
1	1	12	3	1	2	1	32	0.013329	1	141.669393	141.869058	142.389037	142.588959	143.242058	143.255364	143.681901	140.162993	0	0.850000	1	0	2	969	
1	1	13	3	1	2	2	14	0.013329	0.800000	146.294370	146.494067	146.760624	146.960709	147.867044	147.880370	148.306904	144.987963	0	1.100000	0	0	2	746	
1	1	14	3	1	1	1	2	0.013329	0.900000	151.039401	151.239047	151.705523	151.905440	152.611864	152.625194	153.051708	149.626268	0	0.900000	1	0	1	681	
1	1	15	3	1	2	1	4	0.013329	1	155.890989	156.090645	156.517278	156.717227	157.463604	157.476941	157.903474	154.384686	0	0.950000	0	1	2	0	
1	1	16	3	1	1	2	24	0.013329	0.900000	160.635954	160.835602	161.062337	161.262262	162.208595	162.221894	162.648480	159.222854	0	1.150000	0	1	2	0	
1	1	17	3	1	2	1	18	0.013329	0.600000	165.074376	165.274040	165.647352	165.847306	166.646994	166.660322	167.086822	163.967918	0	1.000000	0	1	1	0	
1	1	18	3	1	1	1	16	0.013329	0.900000	169.819332	170.018977	170.339002	170.538920	171.391949	171.405289	171.831814	168.406226	0	1.050000	0	1	2	0	
1	1	19	3	1	1	2	18	0.013329	0.700000	174.351056	174.550698	174.723933	174.923991	175.923678	175.937005	176.363520	173.137864	0	1.200000	0	1	1	0	
1	1	20	3	1	1	1	6	0.013329	0.700000	178.896166	179.095761	179.362436	179.562367	180.468714	180.482053	180.908549	177.682966	0	1.100000	0	1	2	0	
1	1	21	3	1	2	1	25	0.013329	0.900000	183.627721	183.827382	184.054100	184.254022	185.200330	185.213687	185.640183	182.214646	0	1.150000	0	1	2	0	
1	1	22	3	1	1	2	28	0.013329	0.600000	188.066153	188.265791	188.385720	188.585649	189.638757	189.652092	190.078602	186.959612	0	1.250000	0	1	1	0	
1	1	23	3	1	2	1	11	0.013329	1	192.891076	193.090707	193.263976	193.463888	194.463746	194.477034	194.903582	191.384660	0	1.200000	0	1	2	0	
1	1	24	3	1	1	1	3	0.013329	0.900000	197.622765	197.822406	197.942480	198.142396	199.195352	199.208656	199.635182	196.209614	0	1.250000	0	1	2	0	
1	1	25	3	1	2	1	29	0.013329	0.600000	202.061074	202.260762	202.327430	202.527526	203.633759	203.647081	204.073582	200.954599	0	1.300000	0	1	1	0	
1	1	26	3	1	1	2	8	0.013329	0.900000	206.806071	207.005714	207.072363	207.272450	208.378733	208.392034	208.818565	205.392981	0	1.300000	0	1	1	0	
1	1	27	3	1	2	2	27	0.013329	0.900000	211.551167	211.750692	211.777345	211.977272	213.123691	213.137032	213.563534	210.137957	0	1.350000	0	1	1	0	
1	1	28	3	1	1	1	8	0.013329	0.800000	216.189385	216.389054	216.415849	216.615775	217.762020	217.775353	218.201880	214.882968	0	1.350000	0	1	1	0	
1	1	29	3	1	1	1	9	0.013329	0.800000	220.827736	221.027389	221.027389	221.227443	222.400344	222.413698	222.840221	219.521255	0	1.372860	0	1	2	0	
1	1	30	3	1	1	2	30	0.013329	1	225.652651	225.852319	225.852319	226.052394	227.225315	227.238661	227.665149	224.146266	0	1.372860	0	1	1	0	
1	1	31	3	1	2	2	34	0.013329	0.700000	230.184363	230.384040	230.384040	230.584102	231.756853	231.770221	232.196860	228.971208	0	1.372860	0	1	2	0	
